time,symbol,quantity,price
2025-12-09 15:20:16.594016+00,ETHUSDT,0.0032,3139.58
2025-12-09 15:20:16.592463+00,ETHUSDT,0.0137,3139.58
2025-12-09 15:20:16.590191+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:16.588036+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:16.583496+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:16.578893+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:16.529165+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:16.106724+00,BTCUSDT,0.00554,90900
2025-12-09 15:20:16.106479+00,BTCUSDT,0.00339,90900
2025-12-09 15:20:16.106199+00,BTCUSDT,6e-05,90900.01
2025-12-09 15:20:16.105946+00,BTCUSDT,6e-05,90900.01
2025-12-09 15:20:16.105695+00,BTCUSDT,6e-05,90900.01
2025-12-09 15:20:16.105444+00,BTCUSDT,6e-05,90900.79
2025-12-09 15:20:16.105163+00,BTCUSDT,6e-05,90900.79
2025-12-09 15:20:16.104902+00,BTCUSDT,6e-05,90900.79
2025-12-09 15:20:16.104414+00,BTCUSDT,7e-05,90901.53
2025-12-09 15:20:16.104049+00,BTCUSDT,6e-05,90902.69
2025-12-09 15:20:16.10376+00,BTCUSDT,8e-05,90903.57
2025-12-09 15:20:16.103446+00,BTCUSDT,8e-05,90903.57
2025-12-09 15:20:16.103118+00,BTCUSDT,8e-05,90903.57
2025-12-09 15:20:16.102569+00,BTCUSDT,0.00044,90903.57
2025-12-09 15:20:16.100724+00,BTCUSDT,6e-05,90903.59
2025-12-09 15:20:16.098569+00,BTCUSDT,6e-05,90903.59
2025-12-09 15:20:16.096512+00,BTCUSDT,6e-05,90903.59
2025-12-09 15:20:16.095423+00,BTCUSDT,6e-05,90903.59
2025-12-09 15:20:16.094837+00,BTCUSDT,8e-05,90903.59
2025-12-09 15:20:16.094341+00,BTCUSDT,8e-05,90903.59
2025-12-09 15:20:16.093975+00,BTCUSDT,8e-05,90903.59
2025-12-09 15:20:16.093291+00,BTCUSDT,6e-05,90903.59
2025-12-09 15:20:16.091816+00,BTCUSDT,6e-05,90903.59
2025-12-09 15:20:16.088774+00,BTCUSDT,6e-05,90903.59
2025-12-09 15:20:16.08616+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.083643+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.073562+00,BTCUSDT,0.00071,90903.6
2025-12-09 15:20:16.071744+00,BTCUSDT,0.00029,90903.6
2025-12-09 15:20:16.070651+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.070254+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.06983+00,BTCUSDT,8e-05,90903.6
2025-12-09 15:20:16.069125+00,BTCUSDT,8e-05,90903.6
2025-12-09 15:20:16.068481+00,BTCUSDT,8e-05,90903.6
2025-12-09 15:20:16.067402+00,BTCUSDT,0.002,90903.6
2025-12-09 15:20:16.06651+00,BTCUSDT,0.00012,90903.6
2025-12-09 15:20:16.065801+00,BTCUSDT,8e-05,90903.6
2025-12-09 15:20:16.064735+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.06287+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.0614+00,BTCUSDT,0.002,90903.6
2025-12-09 15:20:16.056137+00,BTCUSDT,8e-05,90903.6
2025-12-09 15:20:16.055824+00,BTCUSDT,8e-05,90903.6
2025-12-09 15:20:16.055465+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.055124+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.054818+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.054512+00,BTCUSDT,8e-05,90903.6
2025-12-09 15:20:16.054188+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.05386+00,BTCUSDT,2e-05,90903.6
2025-12-09 15:20:16.053513+00,BTCUSDT,8e-05,90903.6
2025-12-09 15:20:16.053143+00,BTCUSDT,8e-05,90903.6
2025-12-09 15:20:16.052761+00,BTCUSDT,8e-05,90903.6
2025-12-09 15:20:16.052383+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.051973+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.05146+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.050472+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.049856+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.049181+00,BTCUSDT,0.18177,90903.6
2025-12-09 15:20:16.048003+00,BTCUSDT,0.001,90903.6
2025-12-09 15:20:16.046375+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.045567+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.04359+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.041477+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.040454+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.03847+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.037003+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.036712+00,BTCUSDT,8e-05,90903.6
2025-12-09 15:20:16.036301+00,BTCUSDT,0.00012,90903.6
2025-12-09 15:20:16.03598+00,BTCUSDT,0.00012,90903.6
2025-12-09 15:20:16.035612+00,BTCUSDT,0.00012,90903.6
2025-12-09 15:20:16.035105+00,BTCUSDT,0.00012,90903.6
2025-12-09 15:20:16.033777+00,BTCUSDT,0.002,90903.6
2025-12-09 15:20:16.033144+00,BTCUSDT,0.00012,90903.6
2025-12-09 15:20:16.032543+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.031362+00,BTCUSDT,6e-05,90903.6
2025-12-09 15:20:16.029368+00,BTCUSDT,0.00012,90903.6
